Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
1005,19822.08333333,19813.83333333,19807.93333333,,,,1000.0,878.0,829.0,,,,815.0,1381.0,365.0,3
1010,19818.1,19823.28333333,19876.88333333,,,,1000.0,878.0,827.0,,,,820.0,1381.0,436.0,3
1015,19853.016666659998,19850.08333333,19865.45,,,,1000.0,876.0,825.0,,,,824.0,1381.0,385.0,3
1020,19853.766666659998,19856.68333333,19854.08333333,,,,1000.0,876.0,823.0,,,,823.0,1381.0,490.0,3
1025,19901.75,19905.9,19909.8,,,,1000.0,878.0,827.0,,,,820.0,1381.0,339.0,3
1030,19944.08333333,19932.066666659997,19931.566666659997,,,,1000.0,878.0,826.0,,,,821.0,1381.0,370.0,3
1035,20017.96666666,20018.316666659997,20037.33333333,,,,1000.0,882.0,830.0,,,,819.0,1381.0,374.0,3
1040,20309.066666659997,20323.266666659998,20308.5,,,,1000.0,893.0,837.0,,,,824.0,1381.0,359.0,3
1045,20558.63333333,20545.63333333,20549.2,,,,1000.0,903.0,847.0,,,,820.0,1381.0,387.0,3
1050,20552.53333333,20553.8,20546.0,,,,1000.0,902.0,847.0,,,,817.0,1381.0,399.0,3
1055,20555.16666666,20557.5,20551.05,,,,1000.0,900.0,847.0,,,,815.0,1381.0,367.0,3
1060,20557.53333333,20558.266666659998,20584.25,,,,1000.0,899.0,848.0,,,,816.0,1381.0,330.0,3
1065,20607.95,20612.43333333,20606.61666666,,,,1000.0,903.0,848.0,,,,814.0,1381.0,375.0,3
1070,20668.11666666,20663.83333333,20677.33333333,,,,1000.0,906.0,851.0,,,,812.0,1381.0,371.0,3
1075,20679.016666659998,20679.566666659997,20677.316666659997,,,,1000.0,908.0,852.0,,,,806.0,1381.0,360.0,3
1080,20735.78333333,20736.71666666,20738.066666659997,,,,1000.0,910.0,853.0,,,,802.0,1381.0,355.0,3
1085,20753.766666659998,20743.93333333,20744.85,,,,1000.0,909.0,852.0,,,,802.0,1381.0,316.0,3
1090,20760.5,20767.066666659997,20780.05,,,,1000.0,911.0,853.0,,,,803.0,1381.0,356.0,3
1095,20754.233333329998,20598.03333333,20729.93333333,,,,1000.0,910.0,851.0,,,,804.0,1381.0,360.0,3
1100,20758.55,20687.3,20727.266666659998,,,,1000.0,917.0,855.0,,,,799.0,1381.0,385.0,3
1105,20764.61666666,20765.63333333,20764.516666659998,,,,1000.0,922.0,856.0,,,,803.0,1381.0,386.0,3
1110,20722.45,20729.6,20740.11666666,,,,1000.0,922.0,856.0,,,,805.0,1381.0,377.0,3
1115,20635.71666666,20635.5,20644.36666666,,,,1000.0,917.0,851.0,,,,805.0,1381.0,356.0,3
1120,20584.8,20571.7,20575.1,,,,1000.0,915.0,848.0,,,,801.0,1381.0,383.0,3
1125,20618.75,20623.3,20627.75,,,,1000.0,917.0,851.0,,,,802.0,1381.0,366.0,3
1130,20662.83333333,20644.83333333,20662.3,,,,1000.0,918.0,853.0,,,,800.0,1381.0,357.0,3
1135,20618.75,20614.41666666,20611.55,,,,1000.0,920.0,851.0,,,,803.0,1381.0,576.0,3
1140,20538.3,20547.55,20541.766666659998,,,,1000.0,917.0,848.0,,,,806.0,1381.0,521.0,3
1145,20528.1,20537.2,20535.5,,,,1000.0,917.0,849.0,,,,808.0,1381.0,379.0,3
1150,20523.46666666,20528.58333333,20519.85,,,,1000.0,915.0,849.0,,,,808.0,1381.0,376.0,3
1155,20494.516666659998,20656.05,20520.16666666,,,,1000.0,914.0,848.0,,,,814.0,1381.0,329.0,3
1160,20519.266666659998,20583.78333333,20568.2,,,,1000.0,906.0,844.0,,,,816.0,1381.0,336.0,3
1165,20519.46666666,20524.53333333,20525.016666659998,,,,1000.0,904.0,842.0,,,,809.0,1381.0,342.0,3
1170,20575.05,20567.9,20523.71666666,,,,1000.0,905.0,845.0,,,,803.0,1381.0,355.0,3
1175,20669.55,20658.03333333,20657.55,,,,1000.0,910.0,858.0,,,,807.0,1381.0,422.0,3
1180,20739.36666666,20724.5,20714.36666666,,,,1000.0,912.0,860.0,,,,814.0,1381.0,322.0,3
1185,20638.08333333,20632.68333333,20634.93333333,,,,1000.0,907.0,855.0,,,,814.0,1381.0,462.0,3
1190,20599.25,20607.066666659997,20594.6,,,,1000.0,906.0,853.0,,,,817.0,1381.0,475.0,3
1195,20651.38333333,20661.55,20665.766666659998,,,,1000.0,906.0,857.0,,,,818.0,1381.0,382.0,3
1200,20713.35,20708.21666666,20715.766666659998,,,,1000.0,908.0,859.0,,,,819.0,1381.0,379.0,3
1205,20710.46666666,20706.86666666,20711.38333333,,,,1000.0,908.0,858.0,,,,821.0,1381.0,383.0,3
1210,20702.9,20689.03333333,20705.68333333,,,,1000.0,909.0,856.0,,,,815.0,1381.0,331.0,3
