,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1706533685000,8608.68333333,8057.73333333,8285.36666666,8860.83333333,8120.13333333,8201.78333333,8122.9
1706533690000,8816.1,8206.08333333,8331.81666666,8915.76666666,8225.06666666,8342.15,8244.51666666
1706533695000,8901.91666666,8355.08333333,8499.66666666,9077.43333333,8295.05,8439.23333333,8328.15
1706533700000,8885.85,8416.83333333,8567.75,9146.25,8437.26666666,8509.68333333,8380.883333329999
1706533705000,9092.15,8475.0,8639.76666666,9255.9,8536.31666666,8565.35,8473.95
1706533710000,9109.18333333,8541.4,8599.6,9198.15,8557.65,8500.91666666,8427.5
1706533715000,8883.05,8515.43333333,8574.98333333,9130.18333333,8602.18333333,8539.11666666,8435.08333333
1706533720000,9091.51666666,8526.35,8630.71666666,9327.4,8480.35,8629.33333333,8547.91666666
1706533725000,8944.5,8634.35,8612.4,9211.26666666,8641.45,8523.23333333,8436.75
1706533730000,8969.86666666,8527.75,8661.45,9235.283333329999,8532.31666666,8587.71666666,8473.43333333
1706533735000,8906.75,8569.383333329999,8565.3,9189.18333333,8637.96666666,8467.33333333,8390.65
1706533740000,8610.31666666,8479.66666666,8288.68333333,8866.383333329999,8545.08333333,8183.5,8122.43333333
1706533745000,8555.6,8206.95,8238.35,8811.25,8230.883333329999,8152.46666666,8069.63333333
1706533750000,8612.03333333,8157.61666666,8287.06666666,8862.68333333,8181.2,8106.21666666,8037.9166666599995
1706533755000,8652.65,8127.9166666599995,8223.2,8807.8,8226.86666666,8111.38333333,8058.13333333
1706533760000,8551.28333333,8141.4,8237.58333333,8806.86666666,8175.63333333,8144.58333333,8077.31666666
1706533765000,8565.16666666,8167.58333333,8247.58333333,8825.2,8177.03333333,8145.43333333,8078.2
1706533770000,8548.85,8182.58333333,8232.31666666,8805.11666666,8224.28333333,8146.06666666,8064.18333333
1706533775000,8601.83333333,8151.81666666,8228.68333333,8859.5,8162.18333333,8110.06666666,8033.51666666
1706533780000,8386.0,8115.53333333,8180.6,8636.133333329999,8121.23333333,8035.6666666599995,7913.21666666
1706533785000,8446.96666666,8000.85,8130.73333333,,8036.88333333,,7969.83333333
