,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1736619135000,555.0
1736619140000,630.0
1736619145000,683.0
1736619150000,722.0
1736619155000,753.0
1736619160000,778.0
1736619165000,798.0
1736619170000,815.0
1736619175000,866.0
1736619180000,933.0
1736619185000,997.0
1736619190000,1000.0
1736619195000,1000.0
1736619200000,1000.0
1736619205000,1000.0
1736619210000,1000.0
1736619215000,1000.0
1736619220000,1000.0
1736619225000,1000.0
1736619230000,1000.0
1736619235000,1000.0
1736619240000,1000.0
1736619245000,1000.0
1736619250000,1000.0
1736619255000,1000.0
1736619260000,1000.0
1736619265000,1000.0
1736619270000,1000.0
1736619275000,1000.0
1736619280000,1000.0
1736619285000,1000.0
1736619290000,
1736619385000,1000.0
1736619390000,0.0
1736619395000,0.0
1736619400000,198.0
1736619405000,399.0
1736619410000,519.0
1736619415000,599.0
1736619420000,657.0
1736619425000,700.0
1736619430000,733.0
1736619435000,760.0
1736619440000,782.0
1736619445000,800.0
1736619450000,903.0
1736619455000,989.0
1736619460000,1000.0
1736619465000,1000.0
1736619470000,1000.0
1736619475000,1000.0
1736619480000,1000.0
1736619485000,1000.0
1736619490000,1000.0
1736619495000,1000.0
1736619500000,1000.0
1736619505000,1000.0
1736619510000,1000.0
1736619515000,1000.0
1736619520000,1000.0
1736619525000,1000.0
1736619530000,1000.0
1736619535000,1000.0
1736619540000,1000.0
1736619545000,1000.0
1736619550000,1000.0
1736619555000,1000.0
1736619560000,1000.0
1736619565000,
