Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 7)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
575,17356.83333333,17383.78333333,17455.266666659998,,,,,,1000.0,857.0,829.0,,,,,,778.0,1381.0,672.0,3
580,17412.18333333,17409.86666666,17444.78333333,,,,,,1000.0,849.0,828.0,,,,,,788.0,1381.0,397.0,3
585,17528.566666659997,17526.38333333,17526.78333333,,,,,,1000.0,854.0,831.0,,,,,,789.0,1381.0,524.0,3
590,17558.483333329998,17567.95,17626.65,,,,,,1000.0,856.0,835.0,,,,,,791.0,1381.0,394.0,3
595,17806.45,17815.63333333,17800.766666659998,,,,,,1000.0,864.0,842.0,,,,,,793.0,1381.0,446.0,3
600,17777.11666666,17774.95,17771.4,,,,,,1000.0,859.0,839.0,,,,,,795.0,1381.0,445.0,3
605,17751.7,17765.7,17773.91666666,,,,,,1000.0,853.0,828.0,,,,,,791.0,1381.0,447.0,3
610,17837.75,17841.16666666,17862.21666666,,,,,,1000.0,857.0,831.0,,,,,,787.0,1381.0,462.0,3
615,18076.85,18086.58333333,18060.68333333,,,,,,1000.0,867.0,832.0,,,,,,786.0,1381.0,384.0,3
620,18097.8,18079.61666666,18141.25,,,,,,1000.0,868.0,835.0,,,,,,782.0,1381.0,389.0,3
625,18319.55,18302.483333329998,18284.63333333,,,,,,1000.0,879.0,844.0,,,,,,788.0,1381.0,367.0,3
630,18448.7,18459.266666659998,18453.0,,,,,,1000.0,882.0,847.0,,,,,,784.0,1381.0,366.0,3
635,18350.65,18367.36666666,18382.03333333,,,,,,1000.0,876.0,841.0,,,,,,779.0,1381.0,761.0,3
640,18383.3,18330.96666666,,,,,,,1000.0,883.0,,,,,,,778.0,1381.0,425.0,2
645,,,,,,,,,,,,,,,,,,1381.0,459.0,0
675,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,4
680,0.0,0.0,0.0,4.016666666666,,,,,1000.0,1000.0,1000.0,473.0,,,,,0.0,-1.0,-1.0,4
685,7.866666666666,37.3666666667,87.0333333333,645.8,,,,,497.0,304.0,263.0,565.0,,,,,0.0,-1.0,-1.0,4
690,707.6166666666,738.05,867.0833333333,1847.35,,,,,724.0,400.0,411.0,634.0,,,,,57.0,1381.0,661.0,4
695,1927.7,2032.0,2127.0166666666,3142.7333333333,,,,,810.0,546.0,576.0,677.0,,,,,116.0,1381.0,541.0,4
700,3202.0666666665998,3307.9833333333,3448.75,4375.55,,,,,858.0,608.0,632.0,696.0,,,,,131.0,1381.0,60.0,4
705,4426.18333333,4526.85,4648.91666667,5638.8,,,,,886.0,633.0,656.0,706.0,,,,,191.0,1381.0,458.0,4
710,5737.2,5825.066666670001,6011.233333329999,6736.55,,,,,905.0,657.0,682.0,711.0,,,,,216.0,1381.0,470.0,4
715,6731.5,6820.11666666,6934.36666666,7706.4,,,,,919.0,658.0,667.0,701.0,,,,,208.0,1381.0,537.0,4
720,7843.55,7890.26666666,8071.03333333,8936.283333329999,,,,,929.0,659.0,670.0,708.0,,,,,186.0,1381.0,350.0,4
725,9006.35,9091.65,9228.73333333,10162.56666666,,,,,937.0,670.0,679.0,714.0,,,,,188.0,1381.0,445.0,4
730,10256.23333333,10330.43333333,10499.73333333,11467.133333329999,,,,,943.0,683.0,694.0,719.0,,,,,195.0,1381.0,516.0,4
735,11539.08333333,11636.25,11765.383333329999,12800.5,,,,,949.0,693.0,701.0,729.0,,,,,207.0,1381.0,448.0,4
740,12943.75,12914.73333333,13115.08333333,14113.6,,,,,953.0,709.0,719.0,761.0,,,,,213.0,1381.0,449.0,4
745,14168.56666666,14205.5,14310.48333333,14806.783333329999,,,,,995.0,754.0,764.0,775.0,,,,,248.0,1381.0,375.0,4
750,14818.966666659999,14886.633333329999,14870.133333329999,15037.73333333,,,,,999.0,785.0,788.0,781.0,,,,,275.0,1381.0,469.0,4
755,15041.883333329999,15043.65,15093.58333333,15047.16666666,,,,,1000.0,787.0,788.0,777.0,,,,,295.0,1381.0,424.0,4
760,15047.43333333,15038.283333329999,15072.133333329999,15233.81666666,,,,,1000.0,788.0,791.0,785.0,,,,,299.0,1381.0,519.0,4
765,15262.45,15232.55,15261.48333333,15237.45,,,,,1000.0,801.0,805.0,787.0,,,,,289.0,1381.0,472.0,4
770,15258.7,15187.7,15180.9,15475.48333333,,,,,1000.0,800.0,810.0,791.0,,,,,286.0,1381.0,378.0,4
775,15487.533333329999,15469.31666666,15510.266666659998,15671.033333329999,,,,,1000.0,809.0,827.0,795.0,,,,,295.0,1381.0,559.0,4
780,15582.56666666,15603.366666659998,15564.216666659999,15731.33333333,,,,,1000.0,813.0,837.0,796.0,,,,,297.0,1381.0,661.0,4
785,15713.15,15709.616666659998,15720.266666659998,15865.783333329999,,,,,1000.0,817.0,843.0,801.0,,,,,313.0,1381.0,579.0,4
790,15873.6,15905.266666659998,15866.48333333,16058.98333333,,,,,1000.0,826.0,848.0,814.0,,,,,330.0,1381.0,402.0,4
795,16052.266666659998,16022.48333333,16072.81666666,16089.783333329999,,,,,1000.0,828.0,863.0,813.0,,,,,335.0,1381.0,467.0,4
800,16052.116666659998,16167.283333329999,16129.783333329999,16248.116666659998,,,,,1000.0,826.0,862.0,816.0,,,,,353.0,1381.0,515.0,4
805,16262.41666666,16269.45,16271.2,16324.8,,,,,1000.0,835.0,871.0,815.0,,,,,353.0,1381.0,427.0,4
810,16347.98333333,16321.366666659998,16382.366666659998,16318.18333333,,,,,1000.0,837.0,874.0,814.0,,,,,356.0,1381.0,475.0,4
815,16302.383333329999,16305.966666659999,16315.766666659998,16453.4,,,,,1000.0,837.0,869.0,819.0,,,,,355.0,1381.0,447.0,4
820,16451.03333333,16465.983333329998,16463.63333333,16457.86666666,,,,,1000.0,844.0,875.0,817.0,,,,,375.0,1381.0,476.0,4
825,16467.63333333,16453.8,16460.68333333,16488.066666659997,,,,,1000.0,843.0,868.0,816.0,,,,,381.0,1381.0,449.0,4
830,16498.03333333,16521.28333333,16526.85,16646.566666659997,,,,,1000.0,843.0,864.0,824.0,,,,,385.0,1381.0,348.0,4
835,16755.066666659997,16746.55,16787.233333329998,17014.18333333,,,,,1000.0,857.0,877.0,845.0,,,,,398.0,1381.0,488.0,4
840,17041.03333333,17087.483333329998,17118.58333333,17178.45,,,,,1000.0,876.0,887.0,849.0,,,,,431.0,1381.0,365.0,4
845,17185.43333333,17171.03333333,17190.5,17148.233333329998,,,,,1000.0,876.0,892.0,848.0,,,,,443.0,1381.0,426.0,4
850,17105.316666659997,17113.15,17137.21666666,17072.2,,,,,1000.0,870.0,889.0,841.0,,,,,437.0,1381.0,373.0,4
855,17109.93333333,17147.38333333,17117.38333333,17160.8,,,,,1000.0,876.0,886.0,853.0,,,,,448.0,1381.0,633.0,4
860,,17176.71666666,0.0,,,,,,1000.0,1000.0,,,,,,,0.0,1381.0,363.0,2
865,0.0,,0.0,0.0,,,,,1000.0,794.0,1000.0,1000.0,,,,,0.0,1381.0,541.0,3
870,1315.8666666666,2400.5833333333003,1573.7666666666,1377.6833333333,,,,,940.0,769.0,700.0,757.0,,,,,429.0,1381.0,582.0,4
875,2496.7833333333,,,2573.7666666666,,,,,970.0,,,745.0,,,,,363.0,1381.0,369.0,2
880,0.0,0.0,0.0,,,,,,,1000.0,1000.0,1000.0,,,,,,1381.0,533.0,3
885,0.0,0.0,1070.5166666666,1930.0333333332999,,,,,1000.0,1000.0,696.0,466.0,,,,,0.0,1381.0,460.0,4
890,2037.8166666666,2056.1666666666,2238.6166666666,3154.9666666666,,,,,943.0,497.0,725.0,612.0,,,,,526.0,1381.0,813.0,4
895,3252.15,3361.23333333,3439.48333333,4374.88333333,,,,,972.0,680.0,738.0,699.0,,,,,424.0,1381.0,309.0,4
900,4546.76666667,4562.08333333,4733.03333333,5883.233333329999,,,,,981.0,716.0,748.0,760.0,,,,,350.0,1381.0,737.0,4
905,5928.36666667,6018.9,6207.88333333,7164.96666666,,,,,986.0,754.0,780.0,762.0,,,,,354.0,1381.0,381.0,4
910,7301.0,7353.58333333,7558.11666666,8606.56666666,,,,,989.0,773.0,793.0,775.0,,,,,349.0,1381.0,514.0,4
915,8693.21666666,8772.95,8935.91666666,10014.7,,,,,991.0,789.0,801.0,797.0,,,,,344.0,1381.0,462.0,4
920,,,,,,,,,,,,,,,,,,1381.0,404.0,0
955,0.0,0.0,0.0,0.0,0.0,,,,,,1000.0,,,,,,0.0,,-1.0,5
960,0.0,0.0,41.6666666667,0.0,0.0,,,,1000.0,1000.0,372.0,1000.0,1000.0,,,,0.0,-1.0,-1.0,5
965,74.1333333333,105.95,522.5,74.1333333333,43.8666666667,,,,455.0,216.0,359.0,227.0,252.0,,,,0.0,-1.0,-1.0,5
970,564.25,668.2166666666,1409.6166666666,621.4,522.5,,,,667.0,314.0,425.0,324.0,341.0,,,,0.0,1381.0,290.0,5
975,1487.35,1646.6,2593.2,1573.8333333332998,1409.6166666666,,,,778.0,410.0,478.0,423.0,411.0,,,,17.0,1381.0,279.0,5
980,2566.8,2773.0166666666,3629.28333333,2690.7333333333,2593.1833333332997,,,,834.0,481.0,501.0,491.0,477.0,,,,43.0,1381.0,480.0,5
985,3658.23333333,3845.38333333,4791.43333333,3768.03333333,3629.28333333,,,,867.0,516.0,527.0,530.0,500.0,,,,52.0,1381.0,608.0,5
990,4800.86666667,4955.45,5914.4,4862.78333333,4791.41666667,,,,889.0,535.0,543.0,546.0,529.0,,,,87.0,1381.0,579.0,5
995,5939.733333329999,6065.41666667,6995.05,6018.7,5920.3,,,,905.0,561.0,558.0,562.0,545.0,,,,108.0,1381.0,495.0,5
1000,7024.95,7222.983333329999,8026.53333333,7168.31666666,6992.91666666,,,,917.0,572.0,560.0,577.0,555.0,,,,126.0,1381.0,603.0,5
1005,8093.65,8258.08333333,9062.65,8175.58333333,8033.45,,,,926.0,575.0,563.0,580.0,559.0,,,,145.0,1381.0,627.0,5
1010,9175.883333329999,9260.6,10123.86666666,9176.9,9068.45,,,,934.0,579.0,571.0,583.0,562.0,,,,135.0,1381.0,792.0,5
1015,10200.98333333,10387.25,11275.66666666,10280.43333333,10136.2,,,,940.0,590.0,576.0,589.0,565.0,,,,138.0,1381.0,258.0,5
1020,11322.68333333,11468.68333333,12329.616666659998,11427.81666666,11281.33333333,,,,945.0,592.0,594.0,595.0,573.0,,,,161.0,1381.0,732.0,5
1025,12335.06666666,12487.0,13007.9,12426.83333333,12327.4,,,,990.0,627.0,620.0,627.0,604.0,,,,185.0,1381.0,917.0,5
1030,12996.216666659999,13031.3,13278.93333333,12994.31666666,13011.3,,,,1000.0,651.0,625.0,654.0,627.0,,,,215.0,1381.0,595.0,5
1035,13274.68333333,13313.98333333,13386.966666659999,13301.283333329999,13282.9,,,,1000.0,661.0,632.0,663.0,637.0,,,,235.0,1381.0,596.0,5
1040,13437.266666659998,13435.783333329999,13510.366666659998,13440.43333333,13383.633333329999,,,,1000.0,664.0,635.0,666.0,640.0,,,,256.0,1381.0,580.0,5
1045,13514.85,13536.5,13594.33333333,13538.033333329999,13515.466666659999,,,,1000.0,668.0,639.0,668.0,647.0,,,,284.0,1381.0,614.0,5
1050,13620.116666659998,13614.05,13535.43333333,13644.283333329999,13598.08333333,,,,1000.0,674.0,635.0,676.0,650.0,,,,301.0,1381.0,440.0,5
1055,13574.0,13629.08333333,13758.18333333,13593.4,13540.633333329999,,,,1000.0,669.0,640.0,676.0,645.0,,,,302.0,1381.0,526.0,5
