,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1709768700000,510.0,406.0,999.0,398.0,374.0,
1709768705000,521.0,402.0,1000.0,399.0,377.0,
1709768710000,516.0,391.0,1000.0,394.0,367.0,
1709768715000,509.0,407.0,1000.0,405.0,377.0,
1709768720000,514.0,401.0,1000.0,403.0,368.0,
1709768725000,509.0,398.0,1000.0,402.0,372.0,
1709768730000,503.0,402.0,,392.0,378.0,
1709768735000,1000.0,1000.0,1000.0,,1000.0,
1709768740000,1000.0,122.0,907.0,187.0,190.0,
1709768745000,,,,,,
1709768795000,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1709768800000,704.0,225.0,394.0,186.0,218.0,177.0
1709768805000,626.0,147.0,298.0,122.0,141.0,124.0
1709768810000,582.0,140.0,346.0,130.0,145.0,124.0
1709768815000,687.0,145.0,422.0,155.0,195.0,138.0
1709768820000,749.0,202.0,513.0,202.0,231.0,206.0
1709768825000,786.0,228.0,592.0,233.0,253.0,232.0
1709768830000,809.0,252.0,647.0,250.0,268.0,257.0
1709768835000,830.0,255.0,684.0,253.0,271.0,255.0
1709768840000,849.0,266.0,713.0,259.0,279.0,268.0
1709768845000,861.0,273.0,737.0,264.0,280.0,271.0
1709768850000,871.0,279.0,756.0,268.0,283.0,276.0
1709768855000,880.0,291.0,773.0,277.0,292.0,287.0
1709768860000,898.0,309.0,822.0,285.0,307.0,299.0
1709768865000,919.0,328.0,884.0,308.0,329.0,318.0
1709768870000,909.0,341.0,931.0,318.0,336.0,330.0
1709768875000,876.0,361.0,960.0,330.0,341.0,345.0
1709768880000,833.0,355.0,970.0,328.0,341.0,335.0
1709768885000,815.0,358.0,964.0,320.0,342.0,340.0
1709768890000,783.0,348.0,965.0,316.0,337.0,329.0
1709768895000,754.0,356.0,967.0,318.0,344.0,347.0
1709768900000,711.0,351.0,972.0,314.0,336.0,340.0
1709768905000,670.0,349.0,975.0,312.0,335.0,339.0
1709768910000,649.0,352.0,976.0,317.0,342.0,340.0
1709768915000,604.0,346.0,979.0,314.0,336.0,336.0
1709768920000,560.0,335.0,980.0,312.0,326.0,334.0
1709768925000,558.0,333.0,977.0,309.0,323.0,330.0
1709768930000,563.0,335.0,977.0,314.0,332.0,333.0
1709768935000,547.0,330.0,977.0,307.0,325.0,336.0
1709768940000,559.0,335.0,976.0,308.0,326.0,340.0
1709768945000,533.0,326.0,983.0,305.0,318.0,327.0
1709768950000,528.0,329.0,983.0,309.0,318.0,330.0
1709768955000,522.0,330.0,986.0,317.0,327.0,325.0
1709768960000,529.0,340.0,982.0,316.0,330.0,329.0
1709768965000,537.0,340.0,981.0,316.0,328.0,330.0
1709768970000,521.0,337.0,985.0,315.0,325.0,326.0
1709768975000,536.0,343.0,983.0,314.0,325.0,332.0
1709768980000,537.0,341.0,983.0,315.0,323.0,329.0
1709768985000,509.0,342.0,990.0,321.0,326.0,333.0
1709768990000,529.0,348.0,987.0,322.0,327.0,336.0
1709768995000,541.0,346.0,987.0,324.0,325.0,330.0
1709769000000,524.0,335.0,988.0,316.0,315.0,321.0
1709769005000,534.0,340.0,988.0,322.0,323.0,328.0
1709769010000,520.0,339.0,988.0,318.0,321.0,326.0
1709769015000,504.0,332.0,986.0,308.0,303.0,319.0
1709769020000,491.0,321.0,976.0,311.0,303.0,313.0
1709769025000,469.0,314.0,956.0,307.0,301.0,308.0
1709769030000,457.0,310.0,938.0,302.0,296.0,307.0
1709769035000,437.0,304.0,922.0,302.0,297.0,303.0
1709769040000,432.0,301.0,902.0,303.0,293.0,301.0
1709769045000,426.0,295.0,885.0,292.0,291.0,296.0
1709769050000,410.0,288.0,868.0,289.0,290.0,291.0
1709769055000,403.0,285.0,863.0,283.0,293.0,291.0
1709769060000,401.0,284.0,855.0,285.0,290.0,287.0
1709769065000,383.0,276.0,851.0,278.0,280.0,278.0
1709769070000,391.0,274.0,826.0,276.0,282.0,274.0
1709769075000,394.0,272.0,816.0,274.0,281.0,275.0
1709769080000,393.0,273.0,815.0,274.0,280.0,276.0
1709769085000,401.0,275.0,817.0,277.0,283.0,280.0
1709769090000,402.0,271.0,815.0,274.0,280.0,278.0
1709769095000,403.0,269.0,822.0,271.0,275.0,275.0
1709769100000,408.0,272.0,825.0,279.0,278.0,279.0
1709769105000,402.0,272.0,825.0,279.0,274.0,278.0
1709769110000,395.0,270.0,827.0,277.0,268.0,276.0
1709769115000,389.0,271.0,819.0,280.0,262.0,276.0
1709769120000,381.0,270.0,810.0,273.0,258.0,273.0
1709769125000,390.0,272.0,805.0,275.0,262.0,274.0
1709769130000,390.0,274.0,810.0,281.0,271.0,279.0
1709769135000,386.0,275.0,806.0,280.0,269.0,276.0
1709769140000,379.0,278.0,802.0,277.0,266.0,274.0
1709769145000,380.0,283.0,804.0,280.0,266.0,282.0
1709769150000,378.0,286.0,802.0,280.0,268.0,286.0
1709769155000,378.0,283.0,800.0,282.0,267.0,284.0
1709769160000,372.0,284.0,802.0,280.0,268.0,283.0
1709769165000,376.0,289.0,799.0,285.0,272.0,287.0
1709769170000,378.0,288.0,799.0,288.0,275.0,286.0
1709769175000,385.0,288.0,804.0,283.0,274.0,282.0
1709769180000,400.0,292.0,800.0,290.0,285.0,289.0
