Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
730,31399.95,31009.95,30679.66666666,,967.0,910.0,916.0,,962.0,965.0,46987446.0,3505.0,3
735,30888.066666659997,31937.03333333,30771.333333330003,,969.0,916.0,923.0,,976.0,980.0,47901761.0,772.0,3
740,32071.36666666,30877.95,30850.883333330003,,970.0,919.0,920.0,,982.0,990.0,36407691.0,680.0,3
745,32707.516666659998,30843.25,32069.96666666,,970.0,921.0,924.0,,935.0,940.0,51721727.0,711.0,3
750,30859.333333330003,30214.9,30546.35,,975.0,928.0,930.0,,951.0,952.0,64763185.0,811.0,3
755,30878.11666666,30830.3,29962.333333330003,,976.0,927.0,933.0,,970.0,972.0,34359565.0,545.0,3
760,30668.083333330003,32376.98333333,30467.95,,974.0,925.0,933.0,,990.0,992.0,48037816.0,667.0,3
765,31416.9,31344.583333330003,31228.23333333,,976.0,925.0,934.0,,1000.0,1000.0,61442494.0,775.0,3
770,32104.6,30476.3,31991.583333330003,,974.0,924.0,928.0,,976.0,973.0,48934805.0,819.0,3
775,31345.2,30015.316666659997,29904.16666666,,976.0,928.0,931.0,,989.0,989.0,29593907.0,811.0,3
780,31307.8,31710.9,30661.0,,976.0,926.0,931.0,,1000.0,1000.0,52356688.0,871.0,3
785,27843.91666666,31010.55,30338.98333333,,976.0,926.0,930.0,,1000.0,1000.0,44170447.0,969.0,3
790,28399.75,27658.333333330003,27771.53333333,,978.0,927.0,923.0,,1000.0,1000.0,30259683.0,1120.0,3
795,31003.78333333,29215.15,28289.75,,978.0,928.0,921.0,,1000.0,1000.0,46014383.0,600.0,3
800,31384.46666666,30412.21666666,31488.23333333,,977.0,930.0,926.0,,1000.0,997.0,39306619.0,1142.0,3
805,29595.96666666,30445.45,30310.083333330003,,979.0,927.0,925.0,,994.0,987.0,29929459.0,549.0,3
810,,,,,,,,,,,,,0
830,,0.0,0.0,0.0,,,,1000.0,,,,,3
835,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,,,4
840,3787.1,4553.95,6043.233333329999,4544.85,792.0,862.0,527.0,630.0,350.0,334.0,24698557.0,2128.0,4
845,6072.566666670001,6285.03333333,7537.75,6497.0,853.0,921.0,756.0,742.0,540.0,531.0,35986404.0,830.0,4
850,8642.15,9003.15,10530.68333333,8945.95,870.0,883.0,789.0,764.0,662.0,658.0,55331466.0,2861.0,4
855,10561.033333329999,10771.15,12125.31666666,10858.45,883.0,894.0,825.0,800.0,682.0,679.0,24467260.0,1670.0,4
860,12509.8,12539.08333333,14949.1,12583.48333333,892.0,902.0,837.0,820.0,748.0,740.0,36963388.0,1124.0,4
865,15152.516666659998,16346.1,18824.58333333,16716.983333329998,904.0,895.0,849.0,819.0,756.0,755.0,63290187.0,1304.0,4
870,19023.68333333,18911.18333333,20437.25,18809.233333329998,907.0,893.0,864.0,826.0,735.0,734.0,18738451.0,1125.0,4
875,21292.61666666,21761.233333329998,23591.4,21640.5,914.0,893.0,875.0,833.0,757.0,758.0,34304210.0,549.0,4
880,23662.05,23783.36666666,25004.36666666,23993.73333333,919.0,900.0,885.0,841.0,758.0,757.0,53083081.0,2690.0,4
885,26327.516666659998,26175.45,27871.71666666,26033.1,919.0,902.0,887.0,847.0,784.0,785.0,63191439.0,1834.0,4
890,27954.86666666,28974.36666666,30583.833333330003,28816.61666666,920.0,902.0,892.0,852.0,788.0,788.0,37019180.0,652.0,4
895,30823.35,30656.816666659997,32078.78333333,30487.0,921.0,902.0,896.0,857.0,811.0,812.0,54523070.0,2492.0,4
900,28748.333333330003,28864.36666666,29046.23333333,28681.333333330003,934.0,906.0,928.0,875.0,864.0,862.0,65872661.0,1839.0,4
