,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,Map,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722009400000,1000.0,675.0,676.0,609.0,595.0,681.0,617.0,
1722009405000,1000.0,684.0,678.0,604.0,602.0,686.0,620.0,
1722009410000,1000.0,680.0,670.0,611.0,599.0,679.0,620.0,
1722009415000,1000.0,687.0,679.0,622.0,608.0,683.0,626.0,
1722009420000,1000.0,700.0,688.0,632.0,615.0,695.0,634.0,
1722009425000,1000.0,707.0,695.0,634.0,622.0,703.0,637.0,
1722009430000,1000.0,710.0,696.0,634.0,624.0,704.0,642.0,
1722009435000,1000.0,712.0,692.0,638.0,624.0,711.0,643.0,
1722009440000,1000.0,718.0,694.0,640.0,625.0,715.0,650.0,
1722009445000,,716.0,,,631.0,717.0,646.0,
1722009450000,,,,,,,,
1722009485000,,,,,,,,1000.0
1722009490000,724.0,446.0,522.0,1000.0,1000.0,1000.0,1000.0,576.0
1722009495000,703.0,346.0,420.0,376.0,569.0,465.0,513.0,406.0
1722009500000,795.0,386.0,462.0,389.0,405.0,405.0,405.0,438.0
1722009505000,847.0,422.0,488.0,424.0,417.0,429.0,456.0,466.0
1722009510000,877.0,447.0,515.0,453.0,438.0,452.0,492.0,489.0
1722009515000,898.0,467.0,521.0,471.0,451.0,474.0,519.0,496.0
1722009520000,913.0,472.0,535.0,481.0,459.0,482.0,532.0,506.0
1722009525000,924.0,491.0,545.0,483.0,459.0,486.0,540.0,520.0
1722009530000,932.0,507.0,559.0,490.0,472.0,495.0,552.0,528.0
1722009535000,939.0,516.0,568.0,504.0,486.0,498.0,562.0,538.0
1722009540000,945.0,528.0,582.0,517.0,498.0,517.0,576.0,560.0
1722009545000,949.0,538.0,592.0,529.0,505.0,532.0,583.0,567.0
1722009550000,972.0,560.0,613.0,534.0,514.0,541.0,589.0,581.0
1722009555000,999.0,600.0,642.0,562.0,523.0,561.0,613.0,623.0
1722009560000,1000.0,610.0,649.0,585.0,560.0,588.0,647.0,636.0
1722009565000,1000.0,634.0,675.0,597.0,568.0,595.0,657.0,652.0
1722009570000,1000.0,652.0,690.0,616.0,596.0,614.0,675.0,669.0
1722009575000,1000.0,661.0,704.0,632.0,612.0,627.0,693.0,681.0
1722009580000,1000.0,676.0,719.0,645.0,623.0,639.0,704.0,701.0
1722009585000,1000.0,684.0,729.0,665.0,639.0,653.0,728.0,707.0
1722009590000,1000.0,693.0,732.0,678.0,649.0,660.0,737.0,724.0
1722009595000,1000.0,692.0,732.0,677.0,657.0,674.0,748.0,724.0
1722009600000,1000.0,692.0,732.0,673.0,653.0,662.0,740.0,712.0
1722009605000,1000.0,695.0,730.0,670.0,655.0,656.0,743.0,718.0
1722009610000,1000.0,699.0,728.0,671.0,656.0,654.0,743.0,713.0
1722009615000,1000.0,696.0,727.0,665.0,657.0,651.0,738.0,716.0
1722009620000,1000.0,702.0,740.0,664.0,656.0,651.0,738.0,717.0
1722009625000,1000.0,704.0,728.0,666.0,662.0,658.0,742.0,709.0
1722009630000,1000.0,699.0,721.0,659.0,648.0,650.0,737.0,705.0
1722009635000,1000.0,701.0,716.0,656.0,644.0,644.0,727.0,711.0
1722009640000,1000.0,700.0,712.0,655.0,647.0,644.0,726.0,707.0
1722009645000,1000.0,712.0,717.0,647.0,648.0,644.0,715.0,713.0
1722009650000,1000.0,713.0,720.0,645.0,650.0,649.0,717.0,708.0
1722009655000,1000.0,722.0,727.0,647.0,652.0,648.0,715.0,713.0
1722009660000,1000.0,728.0,725.0,654.0,657.0,657.0,729.0,718.0
1722009665000,1000.0,737.0,728.0,659.0,662.0,664.0,728.0,723.0
1722009670000,1000.0,733.0,721.0,660.0,666.0,667.0,734.0,724.0
1722009675000,1000.0,727.0,720.0,658.0,667.0,669.0,731.0,714.0
1722009680000,1000.0,728.0,716.0,660.0,664.0,665.0,732.0,714.0
1722009685000,,,,658.0,663.0,664.0,731.0,
